product_sku,product_name,sales_date,sales_year,sales_month,total_quantity
DLS-127-802-CR-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนยาว-ขายาว)สีครีม,2025-10-01,2025,10,0
DLS-127-802-GE-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนยาว-ขายาว)สีเขียว,2025-10-01,2025,10,0
DLS-127-802-PI-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนยาว-ขายาว)สีชมพู,2025-10-01,2025,10,0
DMK-127-85-BU-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DMK-127-85 ลาย Micky & Minnieไหมอิตาลี (เสื้อแขนสั้น ขาสั้น สีฟ้า ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-85-GE-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DMK-127-85 ลาย Micky & Minnieไหมอิตาลี (เสื้อแขนสั้น ขาสั้น สีเขียว ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-85-PI-F,(Lite) ชุดนอน Disney ลายลิขสิทธิ์แท้ เนื้อผ้าไหมอิตาลี,2025-10-01,2025,10,0
DMK-127-85-PP-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DMK-127-85 ลาย Micky & Minnieไหมอิตาลี (เสื้อแขนสั้น ขาสั้น สีม่วง ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-86-BU-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DMK-127-86 ลาย Micky & Minnieไหมอิตาลี (เสื้อแขนสั้น ขายาว สีฟ้า ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-86-GE-F,(Lite) ชุดนอน Disney ลายลิขสิทธิ์แท้ เนื้อผ้าไหมอิตาลี,2025-10-01,2025,10,0
DMK-127-86-PI-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DMK-127-86 ลาย Micky & Minnieไหมอิตาลี (เสื้อแขนสั้น ขายาว สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-86-PP-F,(Lite) ชุดนอน Disney ลายลิขสิทธิ์แท้ เนื้อผ้าไหมอิตาลี,2025-10-01,2025,10,0
DMK-127-89-CR-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-89 ลาย Mickey Mouse (แขนสั้น-ขาสั้น สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-89-GE-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-89 ลาย Mickey Mouse (แขนสั้น-ขาสั้น สีเขียว ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-89-GE-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-89 ลาย Mickey Mouse (แขนสั้น-ขาสั้น สีเขียว ฟรีไซส์),2025-10-01,2025,10,0
